provider,object_type,current_schema,current_relation,current_object,current_columns,new_schema,new_relation,new_object,new_columns,change_type,notes
postgres,index,public,svantek_monitor_status,,,public,svantek_monitor_status,ix_svantek_monitor_status_serial_id,serial_id,create_object,performance_index_20260609
postgres,index,public,notification,,,public,notification,ix_notification_monitor_id_notification_time,monitor_id|notification_time,create_object,performance_index_20260609
postgres,index,public,notification,,,public,notification,ix_notification_open_monitor_alert_time,monitor_id|alert_type|notification_time,create_object,performance_index_20260609_filtered_open
postgres,index,public,rvt_alert_rule,,,public,rvt_alert_rule,ix_rvt_alert_rule_monitor_active_type,monitor_id|is_active|alert_type,create_object,performance_index_20260609
postgres,index,public,deployment,,,public,deployment,ix_deployment_monitor_id_start_end,monitor_id|start_date|end_date,create_object,performance_index_20260609
postgres,index,public,deployment,,,public,deployment,ix_deployment_current_monitor_id_start_date,monitor_id|start_date,create_object,performance_index_20260609_filtered_current
postgres,index,public,deployment,,,public,deployment,ix_deployment_contract_id_end_date,contract_id|end_date,create_object,performance_index_20260609
postgres,index,public,site_user,,,public,site_user,ix_site_user_user_site_dates,user_id|site_id|start_date|end_date,create_object,performance_index_20260609
postgres,index,public,contract,,,public,contract,ix_contract_company_id,company_id,create_object,performance_index_20260609
postgres,index,public,contract,,,public,contract,ix_contract_site_id,site_id,create_object,performance_index_20260609
postgres,index,public,notification_setting,,,public,notification_setting,ix_notification_setting_site_user_id,site_user_id,create_object,performance_index_20260609
postgres,index,public,site_archived,,,public,site_archived,ix_site_archived_site_id,site_id,create_object,performance_index_20260609
postgres,index,public,site_user,,,public,site_user,ix_site_user_site_id,site_id,create_object,performance_index_20260609
postgres,index,public,report_user,,,public,report_user,ix_report_user_report_rule_id_user_id,report_rule_id|user_id,create_object,performance_index_20260709_report_recipient
postgres,index,public,report_rule,,,public,report_rule,ix_report_rule_site_id_deleted,site_id|deleted,create_object,performance_index_20260709_report_recipient
postgres,index,public,report,,,public,report,ix_report_deleted_report_date,deleted|report_date,create_object,performance_index_20260709_report_recipient
postgres,index,public,site_user,,,public,site_user,ix_site_user_site_id_end_date_user_id,site_id|end_date|user_id,create_object,performance_index_20260709_report_recipient
sqlserver,index,dbo,my_atm_dust_level,,,dbo,my_atm_dust_level,ix_my_atm_dust_level_serial_id_avrg_sample_time,serial_id|avrg|sample_time,create_object,performance_index_20260609
sqlserver,index,dbo,air_q_noise_level,,,dbo,air_q_noise_level,ix_air_q_noise_level_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
sqlserver,index,dbo,svantek_noise_level,,,dbo,svantek_noise_level,ix_svantek_noise_level_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
sqlserver,index,dbo,air_q_noise_8_hour_average,,,dbo,air_q_noise_8_hour_average,ix_air_q_noise_8_hour_average_serial_id_sample_time,serial_id|sample_time,create_object,performance_index_20260609
